TRAIN_NUMBER,TRAIN_NAME,OWNING_RLY,TRAIN_TYPE,TRAIN_SUB_TYPE,TRAIN_SRC,TRAIN_DSTN,NO_OF_COACHES,RAKE_TYPE
19422,PNBE - ADI EXPRESS,WR,MEX,MEX,PNBE,ADI,20,LHB
19489,ADI - GKP EXPRESS,WR,MEX,MEX,ADI,GKP,22,LHB
19490,GKP - ADI  EXPRESS,WR,MEX,MEX,GKP,ADI,22,LHB
19607,KOAA MDJN EXP,NWR,MEX,MEX,KOAA,MDJN,22,LHB
19608,MDJN KOAA EXP,NWR,MEX,MEX,MDJN,KOAA,22,LHB
20151,HDP-REWA SUF EXPRESS,WCR,SUF,SUF,HDP,REWA,20,LHB
20152,REWA-HDP SF EXPRESS,WCR,SUF,SUF,REWA,HDP,20,LHB
20173,RKMP-REWA VANDE BHARATEX ,WCR,VNDB,VNDB,RKMP,REWA,8,VNDB
20174,REWA-RKMP VANDE BHARAT EX,WCR,VNDB,VNDB,REWA,RKMP,8,VNDB
20471,SGNR PURI SUF,NWR,SUF,SUF,SGNR,PURI,21,LHB
20472,PURI SGNR SUF,NWR,SUF,SUF,PURI,SGNR,21,LHB
20807,VSKP-ASR  SF HIRAKUD EXP,ECOR,SUF,SUF,VSKP,ASR,21,LHB
20808,ASR-VSKP SF  HIRAKUD  EXP,ECOR,SUF,SUF,ASR,VSKP,21,LHB
20827,JBP SRC HUMSAFAR EXPRESS,SER,SUF,HMSF,JBP,SRC,22,LHB
20828,SRC JBP HUMSAFAR EXPRESS,SER,SUF,HMSF,SRC,JBP,22,LHB
20903,EKNR - BSB MAHAMANA,WR,SUF,MAMN,EKNR,BSB,22,LHB
20904,BSB - EKNR MAHAMANA,WR,SUF,MAMN,BSB,EKNR,22,LHB
20905,EKNR - REWA MAHAMANA,WR,SUF,MAMN,EKNR,REWA,22,LHB
20906,REWA - EKNR EXPRESS,WR,SUF,MAMN,REWA,EKNR,22,LHB
20929,UDN - BSBS EXPRESS,WR,SUF,SUF,UDN,BSBS,22,LHB
20930,BSBS - UDN SF EXPRES,WR,SUF,SUF,BSBS,UDN,22,LHB
20933,UDN - DNR EXPRESS,WR,SUF,SUF,UDN,DNR,22,LHB
20934,DANAPUR EXPRESS,WR,SUF,SUF,DNR,UDN,22,LHB
20971,UDZ SHM EXP,NWR,SUF,SUF,UDZ,SHM,22,LHB
20972,SHM UDZ EXP,NWR,SUF,SUF,SHM,UDZ,22,LHB
22103,LTT-AYC SF EXP,CR,SUF,SUF,LTT,AYC,22,LHB
22104,AYC-LTT SF EXP,CR,SUF,SUF,AYC,LTT,22,LHB
22131,PUNE-BSBS GYANGANGA EXP,CR,SUF,SUF,PUNE,BSBS,20,LHB
22132,BSBS-PUNE GYANGANGA SF,CR,SUF,SUF,BSBS,PUNE,20,LHB
22145,BPL-REWA SUPER FAST EXP,WCR,SUF,SUF,BPL,REWA,24,ICF
22146,REWA-BPL SUPER FAST EXP,WCR,SUF,SUF,REWA,BPL,24,ICF
22165,BPL-SGRL URJADHANI SF EXP,WCR,SUF,SUF,BPL,SGRL,24,ICF
22166,SGRL-BPL URJADHANI SF EXP,WCR,SUF,SUF,SGRL,BPL,24,ICF
22167,SGRL-NZM URJADHANI SF EXP,WCR,SUF,SUF,SGRL,NZM,24,ICF
22168,NZM-SGRL URJADHANI SF EXP,WCR,SUF,SUF,NZM,SGRL,24,ICF
22169,RKMP-SRC SF HAMSAFAR ,WCR,SUF,HMSF,RKMP,SRC,22,LHB
22170,SRC-RKMP SF HAMSAFAR ,WCR,SUF,HMSF,SRC,RKMP,22,LHB
22177,CSMT-BSB MAHANAGARI EXP,CR,SUF,SUF,CSMT,BSB,22,LHB
22178,BSB-CSMT EXP,CR,SUF,SUF,BSB,CSMT,22,LHB
22183,LTT AYC EXP,CR,SUF,SUF,LTT,AYC,22,LHB
22184,AYC-LTT SAKET EXPRESS,CR,SUF,SUF,AYC,LTT,22,LHB
22189,JBP-REWA INTERCITY EXP,WCR,SUF,SUF,JBP,REWA,22,LHB
22190,REWA-JBP INTERCITY EXP,WCR,SUF,SUF,REWA,JBP,22,LHB
22311,BGP-LT(T) WKLY EXP,ER,SUF,SUF,GODA,LTT,22,LHB
22312,LTT-GODA WEEKLY EXP,ER,SUF,SUF,LTT,GODA,22,LHB
22351,PPTA - SMVB EXPRESS,ECR,SUF,SUF,PPTA,SMVB,22,LHB
22351,SHC-PPTA - SMVB EXPRESS,ECR,SUF,SUF,SHC,SMVB,22,LHB
22352,SMVB - PPTA EXPRESS,ECR,SUF,SUF,SMVB,PPTA,22,LHB
22352,SMVB - PPTA-SHC EXPRESS,ECR,SUF,SUF,SMVB,SHC,22,LHB
